,d1,d2,d3,d4,d5,d6,Temperature,Humidity,Weather
396,28.14,15.127,23.214,10.543,10.543,26.729,,,
397,29.044,21.067,22.559,10.543,12.218,26.14,,,
398,28.784,19.696,21.93,11.249,11.76,26.898,,,
399,28.805,20.129,21.751,11.356,12.388,25.122,,,
400,28.735,22.719,21.501,11.249,12.862,26.092,,,
401,28.654,22.436,22.396,10.911,12.388,25.96,,,
402,29.107,25.197,22.388,12.471,13.357,25.98,,,
403,29.16,23.051,22.624,12.218,13.27,26.563,,,
404,28.949,20.817,22.616,12.218,14.254,25.602,,,
405,28.859,21.497,22.47,12.218,12.388,26.62,,,
406,28.629,23.792,22.058,12.468,13.553,26.123,,,
407,29.226,25.339,22.471,12.218,13.082,26.472,,,
408,28.468,24.293,22.862,10.544,14.522,26.259,,,
409,28.236,26.081,22.058,11.761,14.718,26.316,,,
410,26.269,23.683,22.261,10.543,14.259,25.451,,,
411,28.006,20.551,23.081,9.208,13.553,25.816,,,
412,28.616,22.351,23.397,9.208,15.228,25.739,,,
413,27.159,22.734,22.471,9.8526,13.553,26.317,,,
414,28.356,23.857,22.495,11.249,14.259,26.33,,,
415,28.564,19.084,21.711,12.863,13.554,26.225,,,
416,13.639,22.334,23.095,13.358,14.259,26.592,,,
417,28.102,19.09,22.013,12.863,15.096,25.759,,,
418,28.844,22.236,21.75,13.358,13.862,25.518,,,
419,28.427,22.914,21.893,13.082,12.947,26.225,,,
420,28.216,22.002,22.086,13.082,14.313,25.473,,,
421,28.216,21.68,21.512,12.471,14.522,25.004,,,
422,28.942,22.527,22.048,12.863,13.357,26.387,,,
423,28.994,21.715,20.071,12.389,14.523,25.301,,,
424,29.102,21.525,21.161,12.389,14.259,26.592,,,
425,27.944,21.874,20.543,12.218,13.137,25.166,,,
426,28.701,20.155,21.712,12.131,14.259,26.775,,,
427,28.589,20.967,21.116,12.088,14.259,26.538,,,
428,28.486,23.448,21.183,11.249,12.863,26.197,,,
429,28.09,21.214,21.216,11.249,15.397,26.067,,,
430,25.346,20.372,20.945,12.218,15.096,26.45,,,
431,29.152,21.59,21.183,13.082,14.366,25.073,,,
432,28.789,24.969,20.517,12.389,14.366,25.951,,,
433,28.599,19.118,21.779,10.911,14.521,25.958,,,
434,28.926,23.751,20.694,12.218,14.522,26.33,,,
435,28.514,20.372,20.978,12.862,14.31,25.485,,,
436,26.195,19.903,21.76,11.761,13.081,26.563,,,
437,28.046,23.685,20.656,12.218,14.259,26.085,,,
438,28.674,21.239,21.303,13.082,13.358,26.197,,,
439,28.136,21.647,22.592,12.131,13.357,26.957,,,
440,28.623,22.725,22.687,11.249,14.313,25.27,,,
441,27.92,19.054,21.356,12.863,13.543,25.891,,,
442,28.164,24.439,21.302,12.218,13.356,25.898,,,
443,28.594,20.387,22.981,10.791,13.921,25.661,,,
444,12.137,24.153,22.493,12.218,13.29,26.387,,,
445,27.678,21.975,22.892,12.131,12.388,26.561,,,
446,28.265,15.865,23.297,10.91,18.491,26.353,,,
447,28.775,22.481,23.214,11.249,13.174,25.271,,,
448,28.547,18.566,22.495,12.218,15.096,25.846,,,
449,28.865,23.833,22.98,11.356,15.141,25.335,,,
450,28.08,23.492,22.495,11.356,14.722,25.122,,,
451,28.587,22.879,21.216,11.761,14.522,25.626,,,
452,28.687,16.308,21.712,11.761,13.861,25.594,,,
453,28.211,22.438,21.345,10.911,14.523,26.056,,,
454,28.539,21.475,23.044,12.389,12.078,26.407,,,
455,27.57,23.834,22.68,12.218,13.357,26.563,,,
456,27.165,23.564,21.751,10.543,13.554,25.85,,,
457,28.378,19.715,22.862,12.389,12.388,25.994,,,
458,28.886,23.17,22.338,11.76,12.218,25.626,,,
459,28.735,18.806,22.058,11.249,10.673,26.629,,,
460,27.523,23.732,21.712,12.389,12.218,26.726,,,
461,28.591,25.158,21.712,13.554,11.356,25.06,,,
462,28.997,23.188,23.404,12.131,13.29,26.056,,,
463,26.167,21.424,23.017,12.218,12.388,25.891,,,
464,28.573,24.026,23.357,12.471,11.76,25.759,,,
465,28.802,22.788,22.592,11.199,13.081,25.305,,,
466,28.352,24.388,21.512,11.761,12.217,25.534,,,
467,28.964,21.042,21.094,10.543,10.91,26.067,,,
468,28.688,23.023,20.129,12.389,10.543,26.934,,,
469,28.518,24.358,22.13,10.91,12.039,26.411,,,
470,28.004,22.089,21.93,10.543,11.249,26.225,,,
